ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,total_bsmt_sf,heating,heating_qc,central_air,electrical,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice
160,RM,21.0,1680,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,3,3,1,5,1,483.0,GasA,TA,Y,SBrkr,987,0.0,0.0,1,1,2,1,TA,4,Typ,0,None,Detchd,1,1.0,264.0,3,3,Y,0,0,0,0,0,0,0,7,2008,COD,85400
20,RL,64.0,7488,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,3,6,1,1208.0,GasA,Ex,Y,SBrkr,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,None,Attchd,2,2.0,632.0,3,3,Y,105,58,0,0,0,0,0,2,2006,WD ,183600
70,RL,120.0,26400,Pave,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,0,0,0,0,0,0.0,GasA,Ex,Y,SBrkr,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,TA,Attchd,1,2.0,576.0,3,3,P,0,0,0,0,0,0,0,6,2009,WD ,131000
160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,4,3,1,6,1,960.0,GasA,Ex,Y,SBrkr,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Detchd,1,2.0,480.0,3,3,Y,169,0,0,0,0,0,0,12,2008,ConLD,200000
20,RL,74.0,9627,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,3,6,1,1351.0,GasA,Ex,Y,SBrkr,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,None,Attchd,2,2.0,610.0,3,3,Y,0,50,0,0,0,0,0,6,2008,WD ,193000
20,RL,93.0,10114,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,5,3,3,1,1,1430.0,GasA,Ex,Y,SBrkr,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2,2.0,624.0,3,3,Y,0,0,0,0,0,0,0,3,2010,WD ,173500
70,RM,34.0,4571,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,3,3,1,1,1,624.0,GasA,Fa,N,SBrkr,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,None,Detchd,1,3.0,513.0,2,2,Y,0,0,96,0,0,0,0,5,2008,COD,98000
20,RL,80.0,8816,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,3,3,1,3,1,1121.0,GasA,TA,Y,SBrkr,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,1,2.0,480.0,3,3,Y,0,80,0,0,0,0,0,6,2009,WD ,139000
20,RL,71.0,8197,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,3,3,1,1,1,660.0,GasA,Ex,Y,SBrkr,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,TA,Attchd,2,2.0,528.0,3,3,Y,138,0,0,0,0,0,0,4,2007,WD ,143500
60,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,4,3,2,6,1,756.0,GasA,Ex,Y,SBrkr,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,None,Attchd,1,2.0,614.0,3,3,Y,169,45,0,0,0,0,0,6,2010,Con,215200
20,RL,109.0,8724,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,4,3,1,4,1,894.0,GasA,Gd,Y,SBrkr,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Po,Attchd,3,2.0,450.0,3,3,Y,0,0,0,0,0,0,0,5,2007,WD ,129000
120,RL,40.0,5664,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,4,3,1,6,1,1501.0,GasA,Ex,Y,SBrkr,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Ex,Attchd,3,2.0,499.0,3,3,Y,212,59,0,0,0,0,0,10,2009,WD ,278000
60,RL,103.0,12867,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,5,3,3,1,1,1209.0,GasA,Ex,Y,SBrkr,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,3,2.0,575.0,3,3,Y,243,142,0,0,0,0,0,7,2006,New,344133
20,RL,68.0,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,4,3,1,5,1,1168.0,GasA,Ex,Y,SBrkr,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,None,Attchd,3,2.0,420.0,3,3,Y,483,21,0,0,0,0,500,3,2010,WD ,185000
190,RL,100.0,34650,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,3,3,2,3,1,1056.0,GasA,TA,N,SBrkr,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Attchd,3,2.0,572.0,3,3,Y,264,0,0,0,0,0,0,1,2006,WD ,145000
20,RL,92.0,10573,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,3,3,1,3,1,1453.0,GasA,Ex,Y,SBrkr,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,TA,Attchd,2,2.0,530.0,3,3,Y,0,49,0,0,288,0,0,4,2009,WD ,187500
20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,3,3,1,6,4,894.0,GasA,Ex,Y,SBrkr,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Gd,Detchd,1,1.0,336.0,3,3,Y,416,144,0,0,0,0,0,4,2010,WD ,138500
50,RL,68.0,11700,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,3,3,1,4,1,942.0,GasA,Ex,Y,SBrkr,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Gd,Detchd,1,1.0,240.0,3,3,Y,0,40,0,0,0,0,0,7,2008,WD ,198000
190,C (all),75.0,8250,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,3,3,1,1,1,957.0,GasA,Fa,N,SBrkr,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,None,None,0,0.0,0.0,0,0,N,0,0,133,0,0,0,0,6,2007,WD ,119600
50,RL,60.0,8064,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,3,3,2,1,1,672.0,GasA,Ex,Y,SBrkr,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Po,Detchd,1,2.0,576.0,3,3,Y,0,0,0,0,0,0,2000,7,2007,WD ,122900
20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,4,3,1,5,1,2524.0,GasA,TA,Y,SBrkr,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,3,2.0,542.0,3,3,Y,474,120,0,0,0,0,0,7,2009,WD ,278000
70,RL,68.0,11435,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,4,3,1,1,1,792.0,GasA,Fa,Y,SBrkr,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Gd,Detchd,1,2.0,400.0,3,3,Y,0,0,0,0,0,0,0,6,2006,WD ,230000
120,RL,30.0,9549,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,4,4,3,2,6,1494.0,GasA,Ex,Y,SBrkr,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Gd,Attchd,3,2.0,481.0,3,3,Y,0,30,0,0,216,0,0,4,2006,WD ,270000
20,RL,60.0,10950,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,3,3,1,5,1,948.0,GasA,TA,Y,SBrkr,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,None,Detchd,1,2.0,410.0,3,3,N,0,48,0,0,0,0,0,4,2007,WD ,125000
20,RL,79.0,10637,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,5,3,4,6,1,1705.0,GasA,Ex,Y,SBrkr,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2,3.0,826.0,3,3,Y,208,44,0,0,0,0,0,9,2009,WD ,297000
20,RL,80.0,9000,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,4,3,4,1,1,160.0,GasA,Fa,Y,SBrkr,1142,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Basment,2,1.0,384.0,3,3,Y,0,28,64,0,0,0,0,4,2009,WD ,113500
160,RM,41.0,2665,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,3,3,1,5,3,757.0,GasA,Ex,Y,SBrkr,1475,0.0,0.0,2,0,4,1,TA,6,Typ,1,TA,Attchd,2,1.0,336.0,3,3,Y,104,26,0,0,0,0,0,7,2006,WD ,127000
20,RL,105.0,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,4,3,1,4,1,1844.0,GasA,Ex,Y,SBrkr,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,2,2.0,546.0,3,3,Y,0,122,0,0,0,0,0,1,2010,COD,190000
20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,3,3,1,5,1,1242.0,GasA,Fa,Y,SBrkr,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,TA,Attchd,1,2.0,528.0,3,3,Y,0,0,0,0,0,0,0,9,2007,WD ,175500
20,RL,60.0,8428,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,4,4,1,6,1,990.0,GasA,Ex,Y,SBrkr,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,1,1.0,384.0,3,3,Y,256,0,0,0,0,0,0,7,2007,WD ,146000
20,RL,75.0,9937,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,3,3,1,4,2,1256.0,GasA,Gd,Y,SBrkr,1256,1.0,0.0,1,1,3,1,TA,6,Typ,0,None,Attchd,3,1.0,276.0,3,3,Y,736,68,0,0,0,0,0,6,2008,WD ,147500
20,RL,107.0,13891,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Ex,TA,PConc,5,4,4,6,1,2076.0,GasA,Ex,Y,SBrkr,2076,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Gd,Attchd,3,3.0,850.0,3,3,Y,216,229,0,0,0,0,0,9,2006,New,465000
85,RL,68.0,9101,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,4,3,3,6,1,1097.0,GasA,Ex,Y,SBrkr,1110,1.0,0.0,1,0,1,1,Gd,4,Typ,1,TA,Attchd,3,2.0,602.0,3,3,Y,303,30,0,0,0,0,0,7,2009,WD ,165500
50,RM,81.0,12150,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,3,3,1,1,1,1050.0,GasA,Ex,N,FuseF,1795,0.0,0.0,2,0,4,1,TA,7,Typ,0,None,Attchd,1,1.0,352.0,2,3,Y,0,0,0,0,0,0,0,11,2008,WD ,131500
20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,3,3,1,3,1,1040.0,GasA,Ex,Y,SBrkr,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,None,Detchd,1,1.0,384.0,3,3,Y,0,0,0,0,0,0,0,2,2008,WD ,129500
70,RL,100.0,9670,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,3,2,1,2,1,608.0,GasA,TA,Y,SBrkr,1873,0.0,0.0,1,1,4,1,TA,9,Typ,2,Gd,Detchd,3,2.0,786.0,2,3,Y,0,0,207,0,0,0,0,6,2008,WD ,257076
50,RL,60.0,10998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,3,3,1,2,4,984.0,GasA,Ex,Y,SBrkr,1604,0.0,0.0,2,0,3,1,TA,6,Min2,0,None,Detchd,1,2.0,660.0,3,3,Y,0,68,0,0,0,0,0,7,2009,WD ,117000
70,RL,60.0,7200,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,4,3,1,1,1,776.0,GasA,TA,Y,SBrkr,1502,0.0,0.0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,2,1.0,270.0,3,3,P,0,0,112,0,0,0,0,2,2008,WD ,149000
20,RL,80.0,9920,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,3,3,1,3,2,1056.0,GasA,TA,Y,SBrkr,1063,1.0,0.0,1,0,3,1,TA,6,Typ,0,None,Attchd,2,1.0,280.0,3,3,Y,0,0,164,0,0,0,0,2,2010,WD ,128000
160,RL,36.0,2448,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,4,3,1,1,1,764.0,GasA,Ex,Y,SBrkr,1626,0.0,0.0,2,1,2,1,Gd,6,Typ,0,None,BuiltIn,2,2.0,474.0,3,3,Y,0,27,0,0,0,0,0,10,2008,WD ,155000
160,FV,68.0,2998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,4,3,1,6,1,756.0,GasA,Ex,Y,SBrkr,1524,0.0,0.0,2,1,2,1,Gd,4,Typ,0,None,Detchd,1,2.0,440.0,3,3,Y,0,32,0,0,0,0,0,6,2006,WD ,166000
50,RL,65.0,7804,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,3,3,1,4,1,1122.0,GasA,TA,Y,SBrkr,1981,1.0,0.0,2,0,4,1,Gd,7,Min2,2,TA,Detchd,1,2.0,576.0,3,3,Y,431,44,0,0,0,0,0,12,2009,WD ,135000
60,RL,80.0,16692,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,4,3,1,4,2,1392.0,GasA,TA,Y,SBrkr,2784,1.0,0.0,3,1,5,1,Gd,12,Typ,2,TA,Attchd,2,2.0,564.0,3,3,Y,0,112,0,0,440,519,2000,7,2006,WD ,250000
160,RM,21.0,1476,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,3,3,1,6,1,546.0,GasA,Ex,Y,SBrkr,1092,0.0,0.0,1,1,3,1,TA,5,Typ,0,None,None,0,0.0,0.0,0,0,Y,200,26,0,0,0,0,0,3,2010,WD ,76000
20,RL,75.0,10170,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,TA,CBlock,3,3,1,1,1,216.0,GasA,TA,Y,SBrkr,1575,0.0,0.0,1,1,2,1,Gd,5,Typ,1,Gd,Attchd,1,2.0,400.0,3,3,Y,0,0,0,0,0,0,0,6,2006,WD ,155000
60,RL,80.0,9364,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,TA,TA,CBlock,3,3,1,5,1,663.0,GasA,TA,Y,SBrkr,1352,0.0,0.0,1,1,4,1,TA,7,Typ,0,None,Attchd,3,1.0,299.0,3,3,Y,379,36,0,0,0,0,0,3,2010,WD ,158000
160,FV,24.0,2544,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,4,3,1,6,5,600.0,GasA,Ex,Y,SBrkr,1200,1.0,0.0,2,1,2,1,Gd,4,Typ,0,None,Detchd,2,2.0,480.0,3,3,Y,0,172,0,0,0,0,0,2,2010,WD ,149500
20,RL,82.0,9888,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1975,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,3,3,1,4,1,936.0,GasA,TA,Y,FuseA,936,0.0,0.0,1,0,2,1,TA,5,Typ,0,None,Attchd,1,1.0,240.0,3,3,Y,0,0,160,0,0,0,0,3,2006,WD ,121000
